Title,Package,Category
AWS Console,com.amazon.aws.console.mobile,Productivity
Adobe Scan,com.adobe.scan.android,Productivity
Ama Bus,com.chalo.crut,Maps
Amazon,in.amazon.mShop.android.shopping,Undefined
Arattai,com.aratai.chat,Social
Authenticator,com.azure.authenticator,Productivity
Axis Mobile,com.axis.mobile,Productivity
BOI Mobile,com.boi.ua.android,Productivity
BSNL Selfcare,com.digital.bsnl.selfcare,Productivity
Blinkit,com.grofers.customerapp,Undefined
Brave,com.brave.browser,Social
Calculator,com.coloros.calculator,Undefined
Calendar,com.google.android.calendar,Productivity
Camera,com.oplus.camera,Undefined
Chat,com.google.android.apps.dynamite,Productivity
Chrome,com.android.chrome,Undefined
Clock,com.coloros.alarmclock,Undefined
Cognizant TalRight Recruit,com.talview.recruit.cognizant,Productivity
Compass,com.coloros.compass2,Undefined
Contacts,com.android.contacts,Undefined
Contacts,com.google.android.contacts,Social
Digilocker,com.digilocker.android,Productivity
Discord,com.discord,Social
Docs,com.google.android.apps.docs.editors.docs,Productivity
Drive,com.google.android.apps.docs,Productivity
Excel,com.microsoft.office.excel,Productivity
Expo Go,host.exp.exponent,Undefined
FM Radio,com.android.fmradio,Undefined
Files by Google,com.google.android.apps.nbu.files,Productivity
Flipkart,com.flipkart.android,Undefined
Free Download Manager,org.freedownloadmanager.fdm,Productivity
GPay,com.google.android.apps.nbu.paisa.user,Productivity
Gemini,com.google.android.apps.bard,Productivity
Gmail,com.google.android.gm,Social
Goibibo,com.goibibo,Undefined
Google,com.google.android.googlequicksearchbox,Productivity
Google Play Store,com.android.vending,Productivity
HDFC Bank,com.snapwork.hdfc,Productivity
HDFC Bank App,com.hdfcbank.android.now,Productivity
Hill Climb Racing 2,com.fingersoft.hcr2,Game
IRCTC Rail Connect,cris.org.in.prs.ima,Undefined
JioCinema,com.jio.media.ondemand,Undefined
JioHotstar,in.startv.hotstar,Undefined
Keep notes,com.google.android.keep,Productivity
Lens,com.google.ar.lens,Productivity
MakeMyTrip,com.makemytrip,Undefined
Maps,com.google.android.apps.maps,Undefined
Meet,com.google.android.apps.tachyon,Social
Messages,com.android.mms,Undefined
Messages,com.google.android.apps.messaging,Social
My Context,me.dashbikash.dashvpnservice,Undefined
MyJio,com.jio.myjio,Productivity
NotebookLM,com.google.android.apps.labs.language.tailwind,Productivity
Odisha Yatri,in.mobility.odishayatri,Undefined
Ola,com.olacabs.customer,Maps
OneDrive,com.microsoft.skydrive,Productivity
PayZapp,com.hdfcbank.payzapp,Productivity
Paytm,net.one97.paytm,Productivity
Phone,com.google.android.dialer,Productivity
PhonePe,com.phonepe.app,Productivity
Photos,com.google.android.apps.photos,Image
Photos,com.coloros.gallery3d,Undefined
PowerPoint,com.microsoft.office.powerpoint,Productivity
Proton Mail,ch.protonmail.android,Social
Pulsar,com.rhmsoft.pulsar,Audio
Rapido,com.rapido.passenger,Maps
Recorder,com.coloros.soundrecorder,Undefined
Rovo,com.atlassian.android.rovo.core,Productivity
Settings,com.android.settings,Undefined
Slides,com.google.android.apps.docs.editors.slides,Productivity
Spotify,com.spotify.music,Audio
SumTotal,com.sumtotal.mobileapp,Productivity
SuperVPN Pro,com.jrzheng.supervpnpayment,Productivity
Tata 1mg,com.aranoah.healthkart.plus,Undefined
Teams,com.microsoft.teams,Productivity
Telegram,org.telegram.messenger,Social
Threads,com.instagram.barcelona,Social
Truemeds,com.intellihealth.truemeds,Undefined
UMANG,in.gov.umang.negd.g2c,Productivity
Uber,com.ubercab,Maps
Udemy Business,com.udemy.android.ufb,Productivity
Union ease,com.infrasoft.uboi,Productivity
Universal Tuner,ru.aterlux.guitartuner,Audio
VMEDU,com.vmedu,Undefined
Videos (System),com.coloros.video,Undefined
WhatsApp,com.whatsapp,Social
Word,com.microsoft.office.word,Productivity
X,com.twitter.android,News
YONO SBI,com.sbi.lotusintouch,Productivity
YouTube,com.google.android.youtube,Video
Zoom,us.zoom.videomeetings,Productivity
davaindia,com.davaindia,Undefined
gCMOB,com.mm.android.direct.g_CMOB_XU,Productivity
super.money,money.super.payments,Productivity
